Sheet,Pointer,Clarity,Cut,Color,Florescence,Font,Value,Value_Color,Cert_cost,Price
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,D,NONE,BOLD,-32.0,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,D,NONE,BOLD,-23.0,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,D,NONE,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,D,NONE,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,D,NONE,BOLD,2.0,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,D,NONE,BOLD,9.0,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,D,NONE,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,D,NONE,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,D,NONE,BOLD,6.0,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,D,NONE,BOLD,14.0,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,D,NONE,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,D,NONE,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,D,NONE,BOLD,-1.0,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,D,NONE,BOLD,7.0,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,D,NONE,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,D,NONE,ITALIC,,WHITE,151.0,1840.0
